Rep	Year	RepSeason	NInds	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	130000	19	0.000176649	373450	644450	6.16406e+06	6.58106e+06
0	2	0	58917	641	0.00595958	367450	656450	6.15506e+06	6.59206e+06
0	4	0	60390	787	0.00731698	367450	656450	6.15906e+06	6.58206e+06
0	6	0	74692	899	0.00835828	367450	662450	6.16006e+06	6.58206e+06
0	8	0	100782	1008	0.00937169	367450	664450	6.16006e+06	6.58206e+06
0	10	0	144678	1151	0.0107012	367450	676450	6.16006e+06	6.58206e+06
0	12	0	217124	1305	0.012133	367450	675450	6.16406e+06	6.58206e+06
0	14	0	330972	1489	0.0138437	367450	682450	6.16306e+06	6.58206e+06
0	16	0	502468	1673	0.0155544	367450	682450	6.15206e+06	6.58106e+06
0	18	0	748416	1869	0.0173767	367450	682450	6.16406e+06	6.56606e+06
0	20	0	1075295	2126	0.0197661	367450	690450	6.16206e+06	6.56306e+06
1	0	0	130000	19	0.000176649	373450	644450	6.16406e+06	6.58106e+06
1	2	0	57581	641	0.00595958	367450	654450	6.14906e+06	6.58606e+06
1	4	0	58798	766	0.00712174	367450	662450	6.16006e+06	6.58206e+06
1	6	0	72736	880	0.00818163	367450	668450	6.16006e+06	6.58206e+06
1	8	0	98494	1010	0.00939028	367450	668450	6.16806e+06	6.58206e+06
1	10	0	140638	1139	0.0105896	367450	667450	6.16606e+06	6.58206e+06
1	12	0	209650	1300	0.0120865	366450	668450	6.16506e+06	6.58106e+06
1	14	0	322340	1450	0.0134811	367450	672450	6.16306e+06	6.58006e+06
1	16	0	488956	1639	0.0152383	367450	683450	6.16106e+06	6.55806e+06
1	18	0	732089	1833	0.017042	364450	682450	6.16006e+06	6.56406e+06
1	20	0	1049312	2061	0.0191618	366450	700450	6.16006e+06	6.56706e+06
